人才办,学校,流动人口登记表,暂住证业务表,流动人口表,律师基本信息采集表,幼儿园,外国文教类专家信息(JKRS1),失信被执行人信息（法人或其他组织）,企业基本信息,失信被执行人信息（自然人）,人口基础信息表
人才办,企业,工商开业登记信息,高新技术企业认定信息,单位房屋产权信息表,高企认定或拟认定名单,专业技术人员信息,企业基本信息,年度奖励扶持企业情况,发改局基建工程批准立项信息,国税欠税信息,道路运输经营信息采集表
人才办,人才,专业技术人员信息,高企认定或拟认定名单,流动人口表,流动人口登记表,自然人信息表,人口基础信息表,律师基本信息采集表,暂住证业务表,高新技术企业认定信息,残疾人基本信息
人才办,互联网,律师基本信息采集表,高新技术企业认定信息,暂住证业务表,专业技术人员信息,流动人口表,流动人口登记表,工商开业登记信息,单位房屋产权信息表,企业基本信息,法定代表人正式信息表
人才办,幼儿园,流动人口登记表,幼儿园,暂住证业务表,外国文教类专家信息(JKRS1),流动人口表,食品经营企业信息,高企认定或拟认定名单,失信被执行人信息（法人或其他组织）,厂企信息（网格）,残疾人基本信息
人才办,专利,高新技术企业认定信息,高企认定或拟认定名单,暂住证业务表,外国文教类专家信息(JKRS1),单位房屋产权信息表,法定代表人正式信息表,专业技术人员信息,工商开业登记信息,违法违章受处罚企业信息,水费收集信息(包含企业用水信息)
人才办,高新技术企业,高新技术企业认定信息,高企认定或拟认定名单,纳税信用等级纳税人备案信息,失信被执行人信息（自然人）,单位房屋产权信息表,外国文教类专家信息(JKRS1),工商开业登记信息,暂住证业务表,发改局基建工程批准立项信息,住房公积金个人公积金年度汇缴明细信息
人才办,先进制造业,高企认定或拟认定名单,单位房屋产权信息表,高新技术企业认定信息,暂住证业务表,工商开业登记信息,外国文教类专家信息(JKRS1),企业基本信息,法定代表人正式信息表,流动人口登记表,发改局基建工程批准立项信息
法院,企业,工商开业登记信息,道路运输经营信息采集表,企业基本信息,吊销登记信息,佛山市农业龙头企业信息,年度奖励扶持企业情况,单位房屋产权信息表,国税欠税信息,食品经营企业信息,纳税信用等级纳税人备案信息
法院,婚姻,流动人口表,流动人口登记表,暂住证业务表,人口基础信息表,常住人口基本信息,出租屋详细信息,食品经营企业信息,自然人信息表,残疾人基本信息,单位房屋产权信息表
法院,死亡,流动人口表,暂住证业务表,流动人口登记表,纳税信用等级纳税人备案信息,食品经营企业信息,工程建设单位项目业绩信息(JKJS17),现场检查记录,国税欠税信息,常住人口基本信息,单位房屋产权信息表
法院,上市,商品房预售项目信息表,纳税信用等级纳税人备案信息,道路运输经营信息采集表,发改局基建工程批准立项信息,对外贸易经营者备案登记情况,工程建设单位项目业绩信息(JKJS17),企业基本信息,吊销登记信息,土地交易信息表,佛山市农业龙头企业信息
法院,房屋,出租屋详细信息,流动人口表,建设项目情况信息(JKJS3),房地产交易信息(JKJS1),食品经营企业信息,流动人口登记表,用电量信息表,暂住证业务表,残疾人管理,商品房预售项目信息表
法院,社保,流动人口表,流动人口登记表,暂住证业务表,出租屋详细信息,用电量信息表,残疾人基本信息,企业基本信息,常住人口基本信息,律师基本信息采集表,人口基础信息表
法院,工商,企业基本信息,纳税信用等级纳税人备案信息,工商开业登记信息,食品经营企业信息,国税欠税信息,暂住证业务表,单位房屋产权信息表,高新技术企业认定信息,小作坊信息（网格）,厂企信息（网格）
法院,黑名单,吊销登记信息,流动人口表,纳税信用等级纳税人备案信息,流动人口登记表,国税欠税信息,企业基本信息,小作坊信息（网格）,住房公积金个人公积金年度汇缴明细信息,暂住证业务表,单位房屋产权信息表
